rank,fit_score,stars,language,full_name,url,fit_tags,pushed_at,description
16,209,31697,TypeScript,SigNoz/signoz,https://github.com/SigNoz/signoz,self-hosted;mcp,2026-07-29T20:23:49Z,"SigNoz is an open-source, OpenTelemetry-native observability platform for your team and their AI agents. Get logs, metrics, and traces in one tool with features like APM, distributed tracing, log management, infra monitoring, etc. Combined with SigNoz MCP and a native AI teammate (in SigNoz Cloud) it helps you build more resilient apps."
17,209,29234,TypeScript,simstudioai/sim,https://github.com/simstudioai/sim,low-code;no-code;chatbot,2026-07-29T21:13:04Z,"Build, deploy, and orchestrate AI agents. Sim is the central intelligence layer for your AI workforce."
18,209,29186,TypeScript,labring/FastGPT,https://github.com/labring/FastGPT,mcp,2026-07-29T11:55:49Z,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration."
19,209,28166,TypeScript,Budibase/budibase,https://github.com/Budibase/budibase,internal-tool;low-code;no-code,2026-07-29T20:27:00Z,"AI agents, automations and apps that run your operations. Model agnostic."
20,209,27498,TypeScript,yamadashy/repomix,https://github.com/yamadashy/repomix,erp;chatbot;mcp,2026-07-26T09:31:20Z,"📦 Repomix is a powerful tool that packs your entire repository into a single, AI-friendly file. Perfect for when you need to feed your codebase to Large Language Models (LLMs) or other AI tools like Claude, ChatGPT, DeepSeek, Perplexity, Gemini, Gemma, Llama, Grok, and more."
21,209,26707,TypeScript,mastra-ai/mastra,https://github.com/mastra-ai/mastra,chatbot;mcp,2026-07-29T21:08:08Z,Mastra is the modern TypeScript framework for AI-powered applications and agents.
22,208,24028,JavaScript,decolua/9router,https://github.com/decolua/9router,cursor,2026-07-20T10:22:50Z,"Unlimited FREE AI coding. Connect Claude Code, Codex, Cursor, Cline, Copilot, Antigravity to FREE Claude/GPT/Gemini via 40+ providers. Auto-fallback, RTK -40% tokens, never hit limits."
23,207,23657,TypeScript,kriasoft/react-starter-kit,https://github.com/kriasoft/react-starter-kit,saas;starter;boilerplate;starter-kit;starter kit;erp;auth;stripe,2026-07-26T11:01:39Z,"Modern React starter kit with Bun, TypeScript, Tailwind CSS, tRPC, Stripe, and Cloudflare Workers. Production-ready monorepo for building fast web apps."
24,207,23491,TypeScript,nocobase/nocobase,https://github.com/nocobase/nocobase,crm;erp;admin-dashboard;internal-tool;low-code;no-code;self-hosted,2026-07-29T16:58:51Z,"NocoBase is an open-source AI + no-code platform for building business systems fast. Instead of generating everything from scratch, AI works on top of production-proven infrastructure and a WYSIWYG no-code interface, so you get both speed and reliability."
25,207,21282,TypeScript,coze-dev/coze-studio,https://github.com/coze-dev/coze-studio,low-code;no-code;chatbot,2026-07-29T03:18:43Z,"An AI agent development platform with all-in-one visual tools, simplifying agent creation, debugging, and deployment like never before. Coze your way to AI Agent creation."
26,207,23466,TypeScript,activepieces/activepieces,https://github.com/activepieces/activepieces,no-code;mcp,2026-07-29T19:19:28Z,AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents
27,206,35418,TypeScript,refinedev/refine,https://github.com/refinedev/refine,internal-tool;internal tool;low-code,2026-06-05T15:19:38Z,"A React Framework for building  internal tools, admin panels, dashboards & B2B apps with unmatched flexibility."
28,205,35456,TypeScript,medusajs/medusa,https://github.com/medusajs/medusa,ecommerce;e-commerce,2026-07-29T20:48:01Z,The world's most flexible commerce platform for agents and developers
29,204,15082,TypeScript,wasp-lang/open-saas,https://github.com/wasp-lang/open-saas,saas;starter;boilerplate;erp;auth;stripe;payments,2026-07-27T13:25:22Z,"A 100% free modern JS SaaS boilerplate (React, NodeJS, Prisma). Full-featured: Auth (email, google, github, slack, MS), Email sending, Background jobs, Landing page, Payments (Stripe, Polar.sh), Shadcn UI, S3 file upload. AI-ready with tailored AGENTS.md, skills, and Claude Code plugin. One cmd deploy. Powered by Wasp full-stack framework."
30,203,13744,TypeScript,NanmiCoder/cc-haha,https://github.com/NanmiCoder/cc-haha,marketplace;mcp,2026-07-29T16:25:04Z,"Local-first cross-platform desktop workspace for Claude Code / agents: multi-agent, Git worktrees, code diffs, skill marketplace, multi-model, Computer Use, task-aware desktop pets, with WeChat, Feishu, DingTalk, Telegram, WhatsApp and H5 access."
31,203,19446,TypeScript,mksglu/context-mode,https://github.com/mksglu/context-mode,mcp;cursor,2026-07-29T18:18:42Z,"Context window optimization for AI coding agents. Sandboxes tool output (98% reduction), persists session memory, and   enforces routing across 17 platforms via MCP + hooks."
32,202,13033,TypeScript,ixartz/Next-js-Boilerplate,https://github.com/ixartz/Next-js-Boilerplate,starter;boilerplate;starter-kit;erp,2026-07-18T22:13:06Z,"🚀🎉📚 Nextjs Boilerplate and Starter with App Router and Page Router support, Tailwind CSS 4 and TypeScript ⚡️ Made with developer experience first: Next.js 16 + TypeScript + ESLint + Prettier + Drizzle ORM + Husky + Lint-Staged + Vitest + Testing Library + Playwright + Storybook + Commitlint + VSCode + Sentry + PostCSS + Tailwind CSS ✨"
33,202,12302,TypeScript,illacloud/illa-builder,https://github.com/illacloud/illa-builder,crm;cms;internal-tool;internal tool;low-code;self-hosted,2026-05-27T02:22:32Z,"Low-code platform allows you to build business apps, enables you to quickly create internal tools such as dashboard, crud app, admin panel, crm, cms, etc. Supports PostgreSQL, MySQL, Supabase, GraphQL, MongoDB, MSSQL, Rest API, Hugging Face, Redis, etc. Automate workflows with schedule or webhook. Open source Retool. "
34,202,20583,TypeScript,can1357/oh-my-pi,https://github.com/can1357/oh-my-pi,mcp,2026-07-29T21:19:52Z,"⌥  AI Coding agent for the terminal — hash-anchored edits, optimized tool harness, LSP, Python, browser, subagents, and more"
35,200,12215,TypeScript,zilliztech/claude-context,https://github.com/zilliztech/claude-context,mcp;cursor,2026-07-14T12:00:38Z,Code search MCP for Claude Code. Make entire codebase the context for any coding agent.
36,200,10437,TypeScript,MemTensor/MemOS,https://github.com/MemTensor/MemOS,self-hosted;mcp,2026-07-29T08:08:38Z,"Self-evolving memory OS for LLM & AI Agents: ultra-persistent memory, hybrid-retrieval, and cross-task skill reuse, with 35.24% token savings"
37,200,10221,TypeScript,VoltAgent/voltagent,https://github.com/VoltAgent/voltagent,chatbot;mcp,2026-07-13T16:15:41Z,AI Agent Engineering Platform built on an Open Source TypeScript AI Agent Framework
38,200,9589,JavaScript,cobusgreyling/loop-engineering,https://github.com/cobusgreyling/loop-engineering,starter;mcp,2026-07-29T18:44:08Z,"Practical patterns, starters & CLI tools for loop engineering with AI coding agents. Design systems that prompt and orchestrate agents (inspired by Addy Osmani and Boris Cherny). Includes loop-audit, loop-init, loop-cost."
39,199,12658,TypeScript,superset-sh/superset,https://github.com/superset-sh/superset,mcp;cursor,2026-07-29T21:06:36Z,"Code Editor for the AI Agents Era - Run an army of Claude Code, Codex, etc. on your machine"
40,199,8575,JavaScript,idurar/idurar-erp-crm,https://github.com/idurar/idurar-erp-crm,crm;ecommerce;e-commerce;erp;invoice,2026-05-12T12:32:31Z,Free Open Source ERP CRM Software Accounting Invoicing | Node.Js React
41,199,15434,TypeScript,apitable/apitable,https://github.com/apitable/apitable,admin-dashboard;internal-tool;low-code;no-code,2025-10-30T03:34:31Z,"🚀🎉📚 APITable, an API-oriented low-code platform for building collaborative apps and better than all other Airtable open-source alternatives. "
42,199,9267,TypeScript,coaidev/coai,https://github.com/coaidev/coai,erp;subscription;multi-tenant,2026-03-12T10:00:31Z,"🚀 Next Gen Multi-tenant AI One-Stop Solution. Builtin Admin & Billing System. Enterprise-Grade Unified LLM Gateway Support for 200+ Models And 35+ Providers, Load Balacing w/ Priority-base Routing, Cost Management, Chat Share, Cloud Sync, Credit/Subscription Billing, All File Parsing, Web Search, Built-in Model Cache."
43,198,29448,TypeScript,ComposioHQ/composio,https://github.com/ComposioHQ/composio,auth;mcp,2026-07-29T19:20:33Z,"Composio powers 1000+ toolkits, tool search, context management, authentication, and a sandboxed workbench to help you build AI agents that turn intent into action."
44,198,8020,TypeScript,webiny/webiny-js,https://github.com/webiny/webiny-js,cms;multi-tenant;self-hosted;mcp,2026-07-29T16:42:09Z,"Open-source, self-hosted CMS platform on AWS serverless (Lambda, DynamoDB, S3). TypeScript framework with multi-tenancy, lifecycle hooks, GraphQL API, and AI-assisted development via MCP server. Built for developers at large organizations."
45,198,8299,TypeScript,idosal/git-mcp,https://github.com/idosal/git-mcp,mcp;cursor,2026-05-08T14:21:24Z,"Put an end to code hallucinations! GitMCP is a free, open-source, remote MCP server for any GitHub project"
46,197,7318,TypeScript,ixartz/SaaS-Boilerplate,https://github.com/ixartz/SaaS-Boilerplate,saas;starter;boilerplate;starter-kit;erp;auth,2026-07-02T23:48:01Z,"🚀🎉📚 SaaS Boilerplate built with Next.js + Tailwind CSS + Shadcn UI + TypeScript. ⚡️ Full-stack React application with Auth, Multi-tenancy, Roles & Permissions, i18n, Landing Page, DB, Logging, Testing"
47,197,7431,TypeScript,Blazity/next-enterprise,https://github.com/Blazity/next-enterprise,starter;boilerplate;starter-kit;erp,2026-07-24T23:46:27Z,"💼 An enterprise-grade Next.js boilerplate for high-performance, maintainable apps. Packed with features like Tailwind CSS, TypeScript, ESLint, Prettier, testing tools, and more to accelerate your development."
48,197,7133,TypeScript,vercel/next-forge,https://github.com/vercel/next-forge,boilerplate;erp;stripe,2026-05-28T14:33:12Z,Production-grade Turborepo template for Next.js apps.
49,197,6745,TypeScript,Kiranism/next-shadcn-dashboard-starter,https://github.com/Kiranism/next-shadcn-dashboard-starter,starter;admin-dashboard,2026-07-29T12:07:46Z,"Free, open source admin dashboard starter built with Next.js 16, shadcn/ui, Tailwind CSS, and TypeScript."
50,197,6840,TypeScript,hexclave/hexclave,https://github.com/hexclave/hexclave,auth;oauth;payments;subscription;self-hosted,2026-07-29T18:15:47Z,"The user infrastructure platform. You choose the frontend, backend, and database. Hexclave handles everything else."
51,197,6939,JavaScript,grab/cursor-talk-to-figma-mcp,https://github.com/grab/cursor-talk-to-figma-mcp,mcp;cursor,2026-07-26T07:14:26Z,"TalkToFigma: MCP integration between AI Agent (Cursor, Claude Code, Codex) and Figma, allowing Agentic AI to communicate with Figma for reading designs and modifying them programmatically."
52,197,7328,JavaScript,jnMetaCode/superpowers-zh,https://github.com/jnMetaCode/superpowers-zh,erp;mcp;cursor,2026-07-23T11:40:44Z,🦸 AI 编程超能力 · 中文增强版 — superpowers（116k+ ⭐）完整汉化 + 6 个中国原创 skills，让 Claude Code / Copilot CLI / Hermes Agent / Cursor / Windsurf / Kiro / Gemini CLI 等 16 款 AI 编程工具真正会干活
53,196,6676,TypeScript,open-multi-agent/open-multi-agent,https://github.com/open-multi-agent/open-multi-agent,mcp,2026-07-29T09:30:26Z,"TypeScript AI agent orchestration framework with dynamic workflows. Describe the goal, not the graph: a coordinator plans the task DAG at runtime and runs it on any LLM (Claude, ChatGPT, Gemini, DeepSeek, or local models)."
54,195,80961,TypeScript,lobehub/lobehub,https://github.com/lobehub/lobehub,mcp,2026-07-29T20:09:32Z,"🤯 LobeHub is your Chief Agent Operator, organizing your agents into 7×24 operations by hiring, scheduling, and reporting on your entire AI team."
55,195,5558,TypeScript,thecodingmachine/react-native-boilerplate,https://github.com/thecodingmachine/react-native-boilerplate,starter;boilerplate;starter-kit;erp,2026-06-30T10:48:00Z,"A React Native template for building solid applications 🐙, using JavaScript 💛 or Typescript 💙 (you choose)."
56,195,6357,TypeScript,e2b-dev/fragments,https://github.com/e2b-dev/fragments,erp,2026-07-28T14:28:00Z,Open-source Next.js template for building apps that are fully generated by AI. By E2B.
57,195,5717,TypeScript,netease-youdao/LobsterAI,https://github.com/netease-youdao/LobsterAI,chatbot;mcp,2026-07-29T09:44:18Z,"Open-source, desktop-grade AI agent that gets real work done — data analysis, slides, docs, video & web research. Built on OpenClaw; runs tools on your real desktop and takes commands from your phone via WeChat, Feishu, DingTalk & Telegram."
58,194,4956,TypeScript,dtyq/magic,https://github.com/dtyq/magic,low-code;no-code;mcp,2026-06-11T07:00:17Z,Magicrew. The first open-source all-in-one AI productivity platform (Generalist AI Agent + Workflow Engine + IM + Online collaborative office system)
59,194,4945,TypeScript,53AI/53AIHub,https://github.com/53AI/53AIHub,erp;mcp,2026-07-27T11:53:38Z,"53AI Hub is an open-source AI portal and knowledge base for managing enterprise knowledge, AI agents, prompts, and AI tools, seamlessly integrating with Coze, Dify, FastGPT, RAGFlow. 一个AI知识库与Agent门户"
60,194,4877,TypeScript,boxyhq/saas-starter-kit,https://github.com/boxyhq/saas-starter-kit,saas;starter;boilerplate;starter-kit;starter kit;erp;auth,2026-07-20T08:15:05Z,🔥 Enterprise SaaS Starter Kit - Kickstart your enterprise app development with the Next.js SaaS boilerplate 🚀
61,193,4290,TypeScript,obytes/react-native-template-obytes,https://github.com/obytes/react-native-template-obytes,starter;boilerplate;erp,2026-06-02T13:59:47Z,"📱 A template for your next React Native project: Expo, PNPM, TypeScript, TailwindCSS, Husky, EAS, GitHub Actions, Env Vars, expo-router, react-query, react-hook-form."
62,193,4316,JavaScript,composio-community/open-claude-cowork,https://github.com/composio-community/open-claude-cowork,saas,2026-05-23T11:52:19Z,Open Source version of Claude Cowork with 500+ SaaS app integrations
63,193,4386,TypeScript,Agenta-AI/agenta,https://github.com/Agenta-AI/agenta,self-hosted;mcp,2026-07-29T20:42:03Z,"The open-source workspace for building and running AI agents. Build agents through chat, share them with your team, and run background agents on schedules or app events."
64,192,66785,TypeScript,code-yeongyu/oh-my-openagent,https://github.com/code-yeongyu/oh-my-openagent,cursor,2026-07-29T18:33:29Z,"omo/lazycodex: The coding agent for tokenmaxxers;the one and only agent harness for complex codebases. For your Codex, for your OpenCode"
65,192,4070,TypeScript,archestra-ai/archestra,https://github.com/archestra-ai/archestra,erp;mcp,2026-07-29T21:14:20Z,"Enterprise AI Platform with guardrails, MCP registry, gateway & orchestrator"
66,192,25890,TypeScript,vercel/ai,https://github.com/vercel/ai,,2026-07-29T21:14:35Z,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents "
67,191,91618,JavaScript,DietrichGebert/ponytail,https://github.com/DietrichGebert/ponytail,cursor,2026-07-15T21:32:15Z,Makes your AI agent think like the laziest senior dev in the room. The best code is the code you never wrote.
68,191,3455,TypeScript,oomol-lab/open-connector,https://github.com/oomol-lab/open-connector,saas;auth;oauth;self-hosted;mcp,2026-07-29T10:17:58Z,"Open-source auth gateway connecting 1000+ SaaS providers to AI agents through SDK, CLI, MCP, HTTP, and OpenAPI."
69,190,76703,TypeScript,Egonex-AI/Understand-Anything,https://github.com/Egonex-AI/Understand-Anything,cursor,2026-07-28T12:29:34Z,"Graphs that teach > graphs that impress. Turn any code into an interactive knowledge graph you can explore, search, and ask questions about. Works with Claude Code, Codex, Cursor, Copilot, Gemini CLI, and more."
70,190,2996,JavaScript,lowdefy/lowdefy,https://github.com/lowdefy/lowdefy,internal-tool;low-code,2026-07-29T15:34:11Z,"Build apps that AI can generate, humans can review, and teams can maintain. Config that works between code and natural language."
71,190,4293,TypeScript,NateBJones-Projects/OB1,https://github.com/NateBJones-Projects/OB1,saas;mcp,2026-07-29T10:11:32Z,"Open Brain — The infrastructure layer for your thinking. One database, one AI gateway, one chat channel — any AI plugs in. No middleware, no SaaS."
72,190,3258,TypeScript,AprilNEA/AChat,https://github.com/AprilNEA/AChat,erp;self-hosted;chatbot,2026-04-17T08:50:38Z,"🌊 AChat - An open-source/self-hosted/local-first AI platform, designed for enterprises and teams, perfectly combining powerful local processing capabilities with seamless remote synchronization."
73,189,12387,TypeScript,codexu/note-gen,https://github.com/codexu/note-gen,chatbot;mcp,2026-07-29T10:47:23Z,A cross-platform Markdown AI note-taking software.
74,189,2954,TypeScript,jsynowiec/node-typescript-boilerplate,https://github.com/jsynowiec/node-typescript-boilerplate,starter;boilerplate;erp,2026-06-30T11:11:08Z,"Production-ready Node.js TypeScript boilerplate: ESM, Vitest, ESLint, Prettier, GitHub Actions, Mise, and AGENTS.md included."
75,189,2899,TypeScript,juicycleff/ultimate-backend,https://github.com/juicycleff/ultimate-backend,saas;starter;boilerplate;starter kit;erp;auth;stripe;multi tenant,2026-02-16T14:19:11Z,"Multi tenant SaaS starter kit with cqrs graphql microservice architecture, apollo federation, event source and authentication"
76,189,3774,TypeScript,didi/xiaoju-survey,https://github.com/didi/xiaoju-survey,erp;form-builder;form builder,2026-07-20T04:23:09Z,"XIAOJUSURVEY is an enterprises form builder and analytics platform that allows users to create questionnaires, exams, polls, quizzes, and analyze data online."
77,189,2955,TypeScript,kite-org/kite,https://github.com/kite-org/kite,erp;auth;oauth,2026-07-29T03:43:22Z,"🪁 A lightweight, modern Kubernetes dashboard that unifies multi-cluster and resource management, enterprise-grade user governance (OAuth, RBAC, and audit logs), and AI agents in one workspace. Not just a tool, but more like a platform."
78,189,15798,TypeScript,triggerdotdev/trigger.dev,https://github.com/triggerdotdev/trigger.dev,mcp,2026-07-29T21:04:08Z,Trigger.dev – build and deploy fully‑managed AI agents and workflows
79,189,5874,TypeScript,builderz-labs/mission-control,https://github.com/builderz-labs/mission-control,self-hosted;mcp,2026-07-27T00:18:09Z,"Self-hosted control plane for AI agents: dispatch tasks, review runs, track spend, and operate OpenClaw, Claude Code, Codex, and other runtimes."
80,188,43868,TypeScript,payloadcms/payload,https://github.com/payloadcms/payload,cms;erp,2026-07-29T20:55:30Z,"Payload is the open-source, fullstack Next.js framework, giving you instant backend superpowers. Get a full TypeScript backend and admin panel instantly. Use Payload as a headless CMS or for building powerful applications."
81,188,36967,TypeScript,directus/directus,https://github.com/directus/directus,cms;auth;no-code,2026-07-29T20:52:31Z,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more."
82,188,2487,TypeScript,zce/caz,https://github.com/zce/caz,starter;boilerplate;starter-kit;erp,2026-07-18T02:06:24Z,A simple yet powerful template-based Scaffolding tools.
83,188,2492,TypeScript,TailAdmin/free-nextjs-admin-dashboard,https://github.com/TailAdmin/free-nextjs-admin-dashboard,starter;admin-dashboard,2026-04-28T10:22:20Z,"TailAdmin is a Next.js and Tailwind CSS free, open-source admin dashboard template. Provides developers with the necessary tools, components, pages to build a full-featured back-end, dashboard, or admin panel for any web project."
84,187,38600,TypeScript,ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,boilerplate;erp,2026-07-29T17:24:28Z,👨🏻‍💻👩🏻‍💻 Use Ant Design like a Pro!
85,187,32672,TypeScript,stablyai/orca,https://github.com/stablyai/orca,subscription;cursor,2026-07-29T20:23:55Z,"Orca is the ADE for working with a fleet of parallel agents. Run any coding agent with your own subscription. Available on desktop, mobile and VPS."
86,187,12405,JavaScript,reactioncommerce/reaction,https://github.com/reactioncommerce/reaction,ecommerce;e-commerce;marketplace,2026-03-01T22:35:00Z,"Project has been discontinued ////// Mailchimp Open Commerce is an API-first, headless commerce platform built using Node.js, React, GraphQL. Deployed via Docker and Kubernetes. "
87,187,5437,JavaScript,aimeos/aimeos,https://github.com/aimeos/aimeos,ecommerce;e-commerce;marketplace,2026-07-29T07:44:19Z,"Integrated online shop based on Laravel and the Aimeos e-commerce framework for ultra-fast online shops, scalable marketplaces, complex B2B applications and #gigacommerce"
88,187,16923,TypeScript,getmaxun/maxun,https://github.com/getmaxun/maxun,no-code;self-hosted,2026-07-29T17:38:52Z,"🔥 The open-source no-code platform for web scraping, crawling, search and AI data extraction • Turn websites into structured APIs in minutes 🔥 "
89,187,4393,TypeScript,CaviraOSS/OpenMemory,https://github.com/CaviraOSS/OpenMemory,,2026-07-28T14:01:47Z,"Local persistent memory store for LLM applications including claude desktop, github copilot, codex, antigravity, etc."
90,187,3248,TypeScript,bytebase/dbhub,https://github.com/bytebase/dbhub,mcp;cursor,2026-07-29T07:57:20Z,"Zero-dependency, token-efficient database MCP server for Postgres, MySQL, SQL Server, MariaDB, SQLite."
91,187,23733,TypeScript,promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,,2026-07-29T18:14:11Z,"Test your prompts, agents, and RAGs. Red teaming/pentesting/vulnerability scanning for AI. Compare performance of GPT, Claude, Gemini, DeepSeek, and more. Simple declarative configs with command line and CI/CD integration.  Used by OpenAI and Anthropic."
92,186,1955,TypeScript,themeselection/materio-mui-nextjs-admin-template-free,https://github.com/themeselection/materio-mui-nextjs-admin-template-free,starter;boilerplate;starter-kit;erp;admin-dashboard,2026-03-20T05:51:19Z,"An enterprise-grade Next.js admin dashboard template. Made with developer experience first: Next.js v14 (App Router), Material UI (MUI), Tailwind CSS, TypeScript, ESLint, Prettier, VSCode Configs !! 🚀"
93,186,2036,TypeScript,superglue-ai/superglue,https://github.com/superglue-ai/superglue,erp;auth;oauth;mcp,2026-07-13T14:53:53Z,superglue (YC W25) builds integrations and tools from natural language. Get production-grade tools for long tail and enterprise systems.
94,186,2109,JavaScript,tractorjuice/arc-kit,https://github.com/tractorjuice/arc-kit,erp;mcp,2026-07-28T10:01:27Z,"The Enterprise Architecture Governance Harness — strategy, architecture, delivery, and assurance using AI coding assistants"
95,186,1936,TypeScript,jnMetaCode/agency-orchestrator,https://github.com/jnMetaCode/agency-orchestrator,agency;mcp;cursor,2026-07-27T06:21:41Z,🚀 One sentence → your one-person company of AI experts → complete deliverable in minutes. 267 CN + 184 EN + 5 more languages (ko/ru/pt-BR/id/ar) · zero-code YAML · auto-verified acceptance · Web Studio / Desktop / Docker · 11 LLM providers (7 key-free). 一句话组建你的「一人公司」AI 专家团队，几分钟交付完整方案；验收自动核验，网页 / 桌面 / Docker 全渠道。
96,185,56691,TypeScript,appwrite/appwrite,https://github.com/appwrite/appwrite,auth;self-hosted,2026-07-29T20:57:26Z,"Appwrite® - complete cloud infrastructure for your web, mobile and AI apps. Including Auth, Databases, Storage, Functions, Messaging, Hosting, Realtime and more"
97,185,1827,TypeScript,graphile/starter,https://github.com/graphile/starter,saas;starter;boilerplate;erp,2026-03-23T11:51:30Z,"Opinionated SaaS quick-start with pre-built user account and organization system for full-stack application development in React, Node.js, GraphQL and PostgreSQL. Powered by PostGraphile, TypeScript, Apollo Client, Graphile Worker, Graphile Migrate, GraphQL Code Generator, Ant Design and Next.js"
98,185,1744,TypeScript,BearStudio/start-ui-web,https://github.com/BearStudio/start-ui-web,starter;boilerplate;erp;auth,2026-07-28T11:02:30Z,"🚀 Start UI [web] is an opinionated UI starter from the 🐻 BearStudio Team with ⚙️ Node.js, 🟦 TypeScript, ⚛️ React, 📦 TanStack Start, 💨 Tailwind CSS, 🧩 shadcn/ui, 📋 React Hook Form, 🔌 oRPC, 🛠 Prisma, 🔐 Better Auth, 📚 Storybook, 🧪 Vitest, 🎭 Playwright"
99,185,1682,TypeScript,Blazity/next-saas-starter,https://github.com/Blazity/next-saas-starter,saas;starter;boilerplate;erp,2026-07-25T00:41:21Z,⚡️ Free Next.js responsive landing page template for SaaS products made using JAMStack architecture.
